speed,deceleration,deltadistance,delta_time,detection
54.01,-0.4458,30.2675,0.600086451,TRUE
54.01,-7.3865,32.6433,0.408056974,TRUE
54.01,5.9914,27.1383,0.720111847,TRUE
54.01,-86.6148,35.6986,0.184020042,TRUE
54.01,32.9564,18.6426,0.480091572,TRUE
54.01,-5.7144,104.777,1.064119577,FALSE
51.95,0.1172,121.9045,1.256495953,FALSE
51.95,5.6918,22.7903,0.280014277,FALSE
50.92,3.4646,48.4933,1.112164259,FALSE
50.92,-1.2797,69.2321,1.184187174,FALSE
48.35,1.908,45.0212,1.376202106,FALSE
46.81,-2.4694,150.129,1.904421568,FALSE
46.81,0.8112,30.8433,0.408058643,FALSE
45.27,5.529,26.0029,0.776107788,FALSE
46.29,-0.5167,36.4937,0.952124357,FALSE
45.27,-12.3033,26.5021,0.336019516,FALSE
45.27,7.1911,21.9343,0.600109339,FALSE
45.27,1.144,22.3576,0.816131353,FALSE
45.27,-68.5409,17.8834,0.144003391,FALSE
45.27,12.586,17.8681,0.832211018,FALSE
45.27,-18.6282,22.3576,0.295973301,FALSE
44.24,-5.4012,21.9937,0.248022318,FALSE
44.24,6.2815,26.5023,1.016157389,FALSE
44.24,-2058.8554,47.7536,0.047991276,FALSE
45.27,1002.4457,23.3762,0.064153194,FALSE
46.29,24.5548,50.112,1.360211611,FALSE
46.29,-12.1023,17.9999,0.26402092,FALSE
47.32,4.1081,28.204,0.720212698,FALSE
47.32,-10.4265,22.9963,0.31994772,FALSE
48.35,2.418,30.9664,0.5200665,FALSE
50.41,2.2931,30.3246,0.688106775,FALSE
50.41,-6.7737,30.6319,0.424043179,FALSE
52.47,6.2456,21.293,0.600081682,FALSE
52.47,-9.9514,31.6569,0.41606164,FALSE
52.47,4.9141,28.0523,0.992162466,FALSE
52.47,-123.5824,20.8462,0.120004892,FALSE
56.58,25.314,28.7122,0.43206358,FALSE
56.58,2.5239,33.2164,0.664108753,FALSE
59.16,-7.487,30.0382,0.384049892,FALSE
59.16,4.5905,33.972,0.872140646,FALSE
59.16,-1.1592,40.2846,0.832120419,FALSE
59.16,-160.8308,28.5252,0.120009184,FALSE
59.16,32.7393,36.7774,0.52007103,FALSE
60.7,5.0438,25.185,0.672121048,FALSE
60.7,-9.8145,37.1047,0.456036568,FALSE
62.24,4.7616,35.4292,0.888129473,FALSE
62.24,-49.1392,31.1271,0.216110229,FALSE
63.27,20.5797,25.6245,0.375978947,FALSE
63.79,-0.1899,103.783,1.464194059,FALSE
64.81,2.9714,25.1855,0.432068586,FALSE
64.81,-1.3236,36.1366,0.55207181,FALSE
65.33,-6.859,32.6542,0.432056427,FALSE
65.33,2.8735,31.2641,0.672103405,FALSE
65.84,3.8586,26.2673,0.448064804,FALSE
65.84,-1.3469,41.7371,0.624168873,FALSE
66.36,-4.4613,25.8754,0.319973469,FALSE
66.36,4.6638,35.0429,0.760107994,FALSE
66.87,-42.1066,36.8369,0.248027802,FALSE
66.87,16.0786,34.459,0.528075933,FALSE
66.87,-4.4266,40.4779,0.472065926,FALSE
66.87,2.258,36.0606,0.480064631,FALSE
67.39,5.5231,26.0051,0.72011447,FALSE
67.39,-29.2424,32.6009,0.280033588,FALSE
67.9,7.1595,42.2317,0.536075354,FALSE
67.9,3.5034,35.7866,0.624159813,FALSE
67.9,1.0792,22.7936,0.431993008,FALSE
67.9,-0.4295,35.5003,0.640103817,FALSE
67.9,-2.9926,71.5448,0.880121469,TRUE
67.9,6.1196,23.4329,0.416061401,TRUE
67.9,1.3049,25.8297,0.520072222,TRUE
67.9,-3.3266,45.1572,0.640095472,TRUE
59.16,0.0545,489.3087,8.160058975,FALSE
59.16,0.0897,123.7314,2.130023241,FALSE
